CLI,Nbr_Transactions_2025,Montant_Total_2025,Montant_Moyen_2025,Montant_Max_2024,NCP,CPT_AGENCE_CODE,CLIENT_MARCHE,utilise_mobile_banking_2025,CSP_2025,Segment_NMR_2025,CLIENT_SPEC_LIB_2025,CLT_SECTEUR_ACTIVITE_LIB_2025,Nbr_Cheques_2024,Montant_Cheques_2025,Plafond_Chequier_2025,Ratio_Cheques_Paiements_2025,NBRE_TRANSACTIONS_2024,MONTANT_TOTAL_2024,MONTANT_MOYEN_2024,MONTANT_MAX_2024,NCP_client,AGENCE_COMPTE,MARCHE,utilise_mobile_banking_2024,CSP_2024,Segment_NMR_2024,CLIENT_SPEC_LIB_2024,CLT_SECTEUR_ACTIVITE_LIB_2024,NBRE_CHQ_COMPENSES_2024,MONTANT_CHQ_COMPENSES_2024,MONTANT_MAX_CHQ_2024,NBRE_PREAVIS,NBRE_CNP,NBRE_CNP_INCIDENT,AUTORISATION,NBRE_CHEQUIERS_OCTROYES_2024,NBRE_CHEQUES_OCTROYES_2024,NBRE_CHEQUES_EN_CIRCULATION,Ecart_Nbr_Cheques_2024_2025,Ecart_Montant_Max_2024_2025,A_Demande_Derogation,Derogation_Acceptee,hist_transaction_count,hist_total_amount,hist_avg_amount,hist_preferred_method,curr_transaction_count,curr_total_amount,curr_avg_amount,curr_preferred_method,transaction_frequency_change,avg_amount_change,method_changed,Revenu_Estime,Nombre_Methodes_Paiement,Montant_Moyen_Cheque,Montant_Moyen_Alternative,Target_Nbr_Cheques_Futur,Target_Montant_Max_Futur,CSP,Segment_NMR,CLT_SECTEUR_ACTIVITE_LIB,Utilise_Mobile_Banking
007ee047,11,859729.1,78157.1909090909,115648.98,7c7294dd8a,57.0,PME,False,SALARIE CADRE MOYEN,S5 Univers,Unknown,ADMINISTRATION PUBLIQUE,0.0,0.0,0.0,0.0,4,174774.76,43693.69,94917.93,7c7294dd8a,57.0,TPE,True,SALARIE CADRE MOYEN,S5 Univers,Unknown,ADMINISTRATION PUBLIQUE,1.0,30736.25,30736.25,0,0,0,8034.603393427508,1,25,24.0,-1.0,84912.73,0,0.0,4,174774.76,43693.69,Carte bancaire,11,859729.1,78157.1909090909,Carte bancaire,7,34463.5009090909,False,54907.015954696195,3,69389.38799999999,62525.752727272724,0,166951.57158754795,0,0,0,0
00a68767,4,301477.31,75369.3275,108058.91,2eb33246e1,74.0,PME,True,TRE PROFESSIONNEL,S4 Avenir,Unknown,INDUSTRIE MANUFACTURIÈRE,0.0,0.0,0.0,0.0,13,704926.34,54225.10307692307,97750.06,2eb33246e1,74.0,GEI,True,TRE PROFESSIONNEL,S4 Avenir,Unknown,INDUSTRIE MANUFACTURIÈRE,5.0,148100.23,43294.69,2,0,0,14081.114209142737,1,25,20.0,-5.0,64764.22,1,1.0,13,704926.34,54225.10307692307,Chèque,4,301477.31,75369.3275,Agence,-9,21144.22442307693,True,48925.27539245543,5,64835.346,60295.462,0,154094.910990147,0,0,0,0
00a842b2,25,1465924.2,58636.968,117340.5,9bd1126e75,101.0,Particuliers,True,RENTIER,NON SEGMENTE,Unknown,TRANSPORTS ET ENTREPOSAGE,1.0,30852.95,30852.95,0.04,28,1370193.08,48935.467142857146,87667.76,9bd1126e75,101.0,TRE,True,RENTIER,NON SEGMENTE,Unknown,TRANSPORTS ET ENTREPOSAGE,9.0,373252.5,77101.75,1,0,0,8029.124392480114,1,25,16.0,-8.0,40238.75,0,0.0,28,1370193.08,48935.467142857146,Carte bancaire,25,1465924.2,58636.968,Carte bancaire,-3,9701.500857142855,False,46092.59300345365,6,70404.3,46909.574400000005,0,149295.2596911236,0,0,0,0
00c412b1,5,354008.22000000003,70801.644,105826.14,8a6cbb264f,166.0,Particuliers,True,SALARIE CADRE MOYEN,S3 Essentiel,Unknown,ADMINISTRATION PUBLIQUE,0.0,0.0,0.0,0.0,29,1300292.4000000001,44837.668965517245,98563.57,8a6cbb264f,166.0,TPE,True,SALARIE CADRE MOYEN,S3 Essentiel,Unknown,ADMINISTRATION PUBLIQUE,8.0,322469.34,91312.91,0,0,0,21787.579921835037,1,25,17.0,-8.0,14513.229999999996,0,0.0,29,1300292.4,44837.668965517245,Carte bancaire,5,354008.22000000003,70801.644,Carte bancaire,-24,25963.975034482755,False,38839.865572168725,3,63495.683999999994,56641.315200000005,0,124444.71107428965,0,0,0,0
00c90539,22,1449714.74,65896.12454545454,111082.54,4c37b0d89a,178.0,Particuliers,True,COMMERCANT,S4 Avenir,Unknown,INDUSTRIE MANUFACTURIÈRE,0.0,0.0,0.0,0.0,8,502305.45999999996,62788.182499999995,98856.58,2c64937ecd,178.0,PME,False,COMMERCANT,S4 Avenir,Unknown,INDUSTRIE MANUFACTURIÈRE,2.0,103011.96,51505.98,1,1,0,7519.865456642644,1,25,23.0,-2.0,59576.55999999999,1,1.0,8,502305.46,62788.1825,Carte bancaire,22,1449714.74,65896.12454545454,Carte bancaire,14,3107.942045454547,False,54614.533786248,3,66649.52399999999,52716.89963636364,1,158341.90005840003,0,0,0,0
00d78957,2,150021.46000000002,75010.73000000001,113584.05,c299a575e9,50.0,TPE,False,SALARIE HAUT CADRE,S3 Essentiel,Unknown,ADMINISTRATION PUBLIQUE,0.0,0.0,0.0,0.0,15,702676.91,46845.12733333334,95206.39,c299a575e9,50.0,PME,True,SALARIE HAUT CADRE,S3 Essentiel,Unknown,ADMINISTRATION PUBLIQUE,7.0,346899.91000000003,91813.23,0,0,0,23612.068717107497,1,25,18.0,-7.0,21770.820000000007,0,0.0,15,702676.91,46845.12733333334,Chèque,2,150021.46000000002,75010.73000000001,Carte bancaire,-13,28165.602666666677,True,32451.363318815147,3,68150.43,60008.58400000001,0,133108.31303547675,0,0,0,0
00e2531b,3,188823.78,62941.26,115648.34,4a93dda429,110.0,Particuliers,False,PME,A Intensifier Engagements,Unknown,PROD DISTRIB EAU GEST DECHET,0.0,0.0,0.0,0.0,25,1177520.44,47100.817599999995,95006.51,4a93dda429,110.0,PRO,False,PME,A Intensifier Engagements,Unknown,PROD DISTRIB EAU GEST DECHET,11.0,419597.58999999997,93401.27,1,0,0,2176.739050405857,1,25,14.0,-11.0,22247.069999999992,0,0.0,25,1177520.44,47100.8176,Chèque,3,188823.78,62941.26,Virement,-22,15840.442400000007,True,42152.40092635015,4,69389.004,50353.008,0,139509.74572789943,0,0,0,0
00e327ef,23,1437299.03,62491.26217391305,117843.06,f52d55c3c3,77.0,GEI,True,PME,A Developper Flux,Unknown,ACTIVITÉS IMMOBILIÈRES,4.0,165129.76,65662.89,0.17391304347826086,7,372305.7,53186.52857142857,95678.48,f52d55c3c3,77.0,TRE,False,PME,A Developper Flux,Unknown,ACTIVITÉS IMMOBILIÈRES,3.0,213504.12,95678.48,0,0,0,27713.977411462725,1,25,22.0,1.0,22164.58,1,0.0,7,372305.7,53186.52857142857,Chèque,23,1437299.03,62491.26217391305,Carte bancaire,16,9304.733602484475,True,89449.50260239285,5,70705.836,49993.009739130444,6,168102.5467069106,0,0,0,0
00ef5aa4,10,686022.23,68602.223,112003.12,7982f8ba20,15.0,GEI,False,RETRAITE,NON SEGMENTE,Unknown,AUTRES ACTIVITÉS DE SERVICES,0.0,0.0,0.0,0.0,5,164258.51,32851.702000000005,79861.78,7982f8ba20,15.0,PRO,False,RETRAITE,NON SEGMENTE,Unknown,AUTRES ACTIVITÉS DE SERVICES,1.0,5919.64,5919.64,0,1,0,24102.023610828688,1,25,24.0,-1.0,106083.48,0,0.0,5,164258.51,32851.702000000005,Espèces,10,686022.23,68602.223,Carte bancaire,5,35750.52099999999,True,76583.07851461545,2,67201.87199999999,54881.7784,0,180544.17592074996,0,0,0,0
0109bbb0,7,447411.92,63915.98857142857,118599.68,c8dfee2eed,117.0,GEI,True,SALARIE CADRE MOYEN,S3 Essentiel,Unknown,ADMINISTRATION PUBLIQUE,0.0,0.0,0.0,0.0,11,552818.9400000001,50256.26727272728,96108.92,c8dfee2eed,117.0,TPE,True,SALARIE CADRE MOYEN,S3 Essentiel,Unknown,ADMINISTRATION PUBLIQUE,4.0,195999.15000000002,81658.52,0,0,0,43361.49317184552,1,25,21.0,-4.0,36941.15999999999,1,1.0,11,552818.9400000001,50256.26727272728,Chèque,7,447411.92,63915.98857142857,Carte bancaire,-4,13659.72129870129,True,72902.55334574159,5,71159.80799999999,51132.790857142856,0,167410.90710327553,0,0,0,0
01369de4,5,417430.49,83486.098,119536.16,41a68c9a75,177.0,GEI,False,RETRAITE,S2 Premium,Unknown,ENSEIGNEMENT,0.0,0.0,0.0,0.0,11,670510.94,60955.53999999999,95671.88,41a68c9a75,177.0,TRE,False,RETRAITE,S2 Premium,Unknown,ENSEIGNEMENT,6.0,291708.01,82862.48,1,0,0,7313.80340515142,1,25,19.0,-6.0,36673.68000000001,0,0.0,11,670510.94,60955.53999999999,Chèque,5,417430.49,83486.098,Carte bancaire,-6,22530.558000000005,True,81571.52356291254,6,71721.696,66788.8784,0,166032.28092579232,0,0,0,0
014b536b,5,174504.62,34900.924,56424.2,8990c4f55e,175.0,Particuliers,False,SALARIE AGENT D EXECUTION,S5 Univers,Unknown,ENSEIGNEMENT,0.0,0.0,0.0,0.0,19,947645.52,49876.08,96825.4,8990c4f55e,175.0,PME,True,SALARIE AGENT D EXECUTION,S5 Univers,Unknown,ENSEIGNEMENT,10.0,483415.87999999995,96825.4,0,0,0,15760.817513135084,1,25,15.0,-10.0,-40401.2,1,1.0,19,947645.52,49876.08,Chèque,5,174504.62,34900.924,Carte bancaire,-14,-14975.156000000004,True,29533.63451118668,2,33854.52,27920.7392,0,54157.57863519342,0,0,0,0
0157c38d,12,562638.54,46886.545000000006,83938.21,32db3d0e6b,171.0,PME,False,RENTIER,NON SEGMENTE,BANQUE DIGITALE,SANTÉ HUMAINE ET ACTION SOCIAL,0.0,0.0,0.0,0.0,13,532193.76,40937.981538461536,94893.37,32db3d0e6b,171.0,PRO,False,RENTIER,NON SEGMENTE,BANQUE DIGITALE,SANTÉ HUMAINE ET ACTION SOCIAL,6.0,249766.31,94893.37,0,0,0,1243.5043071676698,1,25,19.0,-6.0,-10955.159999999989,0,0.0,13,532193.76,40937.981538461536,Chèque,12,562638.54,46886.545000000006,Virement,-1,5948.56346153847,True,46255.88803510973,3,50362.926,37509.236000000004,0,93087.04282439173,0,0,0,0
0159f544,11,844068.02,76733.45636363636,118615.34,1cbc9eff58,120.0,Particuliers,False,SALARIE CADRE MOYEN,S5 Univers,Unknown,INFORMATION ET COMMUNICATION,0.0,0.0,0.0,0.0,18,1038352.91,57686.272777777776,99704.97,1cbc9eff58,120.0,TPE,False,SALARIE CADRE MOYEN,S5 Univers,Unknown,INFORMATION ET COMMUNICATION,7.0,462589.81,99704.97,0,1,0,15314.81034791859,1,25,18.0,-7.0,18910.369999999995,1,1.0,18,1038352.91,57686.272777777776,Chèque,11,844068.02,76733.45636363636,Carte bancaire,-7,19047.183585858584,True,46992.57755096491,4,71169.204,61386.76509090909,0,149540.4428668721,0,0,0,0
016fabdb,5,382542.41,76508.48199999999,114432.65,203df5d71b,5.0,GEI,False,RETRAITE,S4 Avenir,Unknown,ADMINISTRATION PUBLIQUE,0.0,0.0,0.0,0.0,3,155227.37,51742.456666666665,67869.38,203df5d71b,5.0,Particuliers,False,RETRAITE,S4 Avenir,Unknown,ADMINISTRATION PUBLIQUE,2.0,118696.31,67869.38,0,0,0,45977.22930066842,1,25,23.0,-2.0,46563.26999999999,0,0.0,3,155227.37,51742.456666666665,Chèque,5,382542.41,76508.48199999999,Carte bancaire,2,24766.025333333324,True,64483.98040602282,2,68659.59,61206.785599999996,0,156001.12519168455,0,0,0,0
0188f3ab,16,1170974.31,73185.894375,118727.79,ed240e3e85,158.0,PRO,False,JEUNE,S5 Univers,Unknown,ENSEIGNEMENT,2.0,113716.76000000001,72637.97,0.125,17,929094.4,54652.611764705885,98066.47,ed240e3e85,158.0,Particuliers,False,JEUNE,S5 Univers,Unknown,ENSEIGNEMENT,6.0,267511.69,77618.59,1,0,0,39616.48911298467,1,25,19.0,-4.0,41109.2,1,1.0,17,929094.4,54652.611764705885,Chèque,16,1170974.31,73185.894375,Carte bancaire,-1,18533.28261029412,True,54494.72312712204,4,71236.674,58548.715500000006,2,160775.82333591313,0,0,0,0
018de45e,7,394655.94,56379.42,103549.12,11d6048ff7,31.0,TPE,True,SALARIE HAUT CADRE,S3 Essentiel,Unknown,ENSEIGNEMENT,0.0,0.0,0.0,0.0,22,1309086.59,59503.93590909091,98929.03,11d6048ff7,31.0,Particuliers,True,SALARIE HAUT CADRE,S3 Essentiel,Unknown,ENSEIGNEMENT,11.0,718258.54,98929.03,0,0,0,43471.04049232547,1,25,14.0,-11.0,4620.0899999999965,0,0.0,22,1309086.59,59503.93590909091,Chèque,7,394655.94,56379.42,Carte bancaire,-15,-3124.515909090914,True,35987.12301036912,5,62129.471999999994,45103.536,0,117522.86047733387,0,0,0,0
01a78a35,15,594144.5499999999,39609.636666666665,108705.79,14df8fbf02,0.0,PRO,True,RETRAITE,S4 Avenir,Unknown,AUTRES ACTIVITÉS DE SERVICES,0.0,0.0,0.0,0.0,11,545009.1699999999,49546.28818181818,93353.67,14df8fbf02,0.0,Particuliers,False,RETRAITE,S4 Avenir,Unknown,AUTRES ACTIVITÉS DE SERVICES,3.0,163502.41999999998,93353.67,0,2,0,13546.168955295352,1,25,22.0,-3.0,15352.119999999995,0,0.0,11,545009.1699999999,49546.28818181818,Chèque,15,594144.5499999999,39609.636666666665,Carte bancaire,4,-9936.651515151512,True,46880.36028475541,5,65223.473999999995,31687.709333333332,0,131018.36091753132,0,0,0,0
01af40c5,13,750119.21,57701.477692307686,118322.0,4320f28d5d,82.0,PME,False,JEUNE,CLIENT INACTIF,Unknown,ENSEIGNEMENT,0.0,0.0,0.0,0.0,6,281089.19,46848.198333333334,90078.24,4320f28d5d,82.0,TPE,True,JEUNE,CLIENT INACTIF,Unknown,ENSEIGNEMENT,2.0,85021.67,83779.09,0,0,0,4556.905360362756,1,25,23.0,-2.0,34542.91,0,0.0,6,281089.19,46848.19833333333,Chèque,13,750119.21,57701.477692307686,Carte bancaire,7,10853.279358974352,True,53999.830468972796,4,70993.2,46161.18215384615,0,151848.07741973767,0,0,0,0
01b01eb8,30,1740945.4,58031.51333333333,114477.09,d127c22e31,123.0,TPE,True,SALARIE HAUT CADRE,S1 Excellence,Unknown,CONSTRUCTION,2.0,207289.57,110713.96,0.06666666666666667,7,368195.66000000003,52599.380000000005,89837.91,d127c22e31,123.0,TPE,True,SALARIE HAUT CADRE,S1 Excellence,Unknown,CONSTRUCTION,3.0,185810.57,89837.91,0,1,0,2006.4479444350748,1,25,22.0,-1.0,24639.179999999993,1,0.0,7,368195.66,52599.380000000005,Chèque,30,1740945.4,58031.51333333333,Carte bancaire,23,5432.133333333324,True,63873.55388247385,6,68686.254,46425.210666666666,3,153880.7238108039,0,0,0,0
01be3f0e,58,3763197.76,64882.719999999994,118919.49,d9b4fb4581,62.0,PME,True,COMMERCANT,S1 Excellence,Unknown,COMM ET RÉPAR AUTOS MOTOCYCL,0.0,0.0,0.0,0.0,40,1700845.08,42521.127,90988.38,5c498fc56e,62.0,PME,False,COMMERCANT,S1 Excellence,Unknown,COMM ET RÉPAR AUTOS MOTOCYCL,24.0,1185328.52,90988.38,1,0,0,44303.058166196286,1,25,1.0,-24.0,27931.11,1,1.0,40,1700845.08,42521.127,Chèque,58,3763197.76,64882.72,Carte bancaire,18,22361.592999999997,True,110551.9245486099,2,71351.694,51906.176,0,181051.78799388633,0,0,0,0
01c531af,7,259017.94,37002.56285714286,82464.89,980b5e09be,176.0,GEI,True,JEUNE,S5 Univers,Unknown,ENSEIGNEMENT,1.0,12221.43,12221.43,0.14285714285714285,22,948410.99,43109.590454545454,97947.82,980b5e09be,176.0,PRO,True,JEUNE,S5 Univers,Unknown,ENSEIGNEMENT,9.0,382219.7,68826.91,1,0,0,3022.7755628909945,1,25,16.0,-8.0,13637.979999999996,1,1.0,22,948410.99,43109.590454545454,Chèque,7,259017.94,37002.56285714286,Carte bancaire,-15,-6107.0275974025935,True,63175.082996926605,5,49478.934,29602.05028571429,0,110836.53680196728,0,0,0,0
020bc17d,29,1501277.01,51768.17275862069,103166.33,06cc1b70df,96.0,PRO,True,TRE SALARIE,NON SEGMENTE,Unknown,ACTIVITÉS EXTRA TERRITORIALES,3.0,138115.59,96897.2,0.10344827586206896,3,163236.81,54412.27,76367.53,06cc1b70df,96.0,PRO,True,TRE SALARIE,NON SEGMENTE,Unknown,ACTIVITÉS EXTRA TERRITORIALES,1.0,13549.87,13549.87,2,0,0,18250.950653688884,1,25,24.0,2.0,89616.46,1,0.0,3,163236.81,54412.27,Carte bancaire,29,1501277.01,51768.17275862069,Carte bancaire,26,-2644.097241379306,False,67265.96101329464,3,61899.797999999995,41414.538206896555,6,165332.44576028004,0,0,0,0
021d85d3,26,1367920.52,52612.32769230769,108084.87,89aae0ac05,94.0,TRE,False,TRE SALARIE,S2 Premium,Unknown,TRANSPORTS ET ENTREPOSAGE,2.0,216169.74,108084.87,0.07692307692307693,38,1841966.6400000001,48472.80631578948,92736.7,89aae0ac05,94.0,PRO,True,TRE SALARIE,S2 Premium,Unknown,TRANSPORTS ET ENTREPOSAGE,22.0,894312.46,92736.7,1,0,0,20067.200979891357,1,25,3.0,-20.0,15348.169999999998,0,0.0,38,1841966.64,48472.80631578948,Chèque,26,1367920.52,52612.32769230769,Carte bancaire,-12,4139.5213765182125,True,84577.55311337298,2,64850.92199999999,42089.86215384616,0,144459.2777739581,0,0,0,0
022bd325,12,658857.9299999999,54904.82749999999,91672.37,0f665900e2,217.0,Particuliers,True,PME,NON SEGMENTE CORPO,Unknown,INFORMATION ET COMMUNICATION,0.0,0.0,0.0,0.0,24,1354118.78,56421.61583333334,99432.39,0f665900e2,217.0,PME,True,PME,NON SEGMENTE CORPO,Unknown,INFORMATION ET COMMUNICATION,12.0,750529.23,99432.39,2,0,0,30662.080929247353,1,25,13.0,-12.0,-7760.020000000004,0,0.0,24,1354118.78,56421.61583333334,Chèque,12,658857.9299999999,54904.82749999999,Carte bancaire,-12,-1516.7883333333448,True,28558.33804777972,5,55003.422,43923.861999999994,0,97849.45249925295,0,0,0,0
025a2ab4,15,871411.6799999999,58094.111999999994,104896.29,0c251305cb,62.0,TPE,False,SALARIE CADRE MOYEN,S2 Premium,Unknown,INFORMATION ET COMMUNICATION,1.0,52818.39,52818.39,0.06666666666666667,4,186825.8,46706.45,80026.73,0c251305cb,62.0,Particuliers,True,SALARIE CADRE MOYEN,S2 Premium,Unknown,INFORMATION ET COMMUNICATION,0.0,0.0,0.0,1,0,0,15938.747266889435,1,25,25.0,1.0,104896.29,0,0.0,4,186825.8,46706.45,Virement,15,871411.6799999999,58094.112,Carte bancaire,11,11387.661999999997,True,52855.456730421516,4,62937.77399999999,46475.2896,1,160390.65604153255,0,0,0,0
