client_id,hist_transaction_count,hist_total_amount,hist_avg_amount,hist_preferred_method,curr_transaction_count,curr_total_amount,curr_avg_amount,curr_preferred_method,transaction_frequency_change,avg_amount_change,method_changed
0276f3d8,36,2082771.8599999999,57854.773888888885,Chèque,20,1021598.04,51079.902,Agence,-16,-6774.871888888883,True
0286c711,27,1006646.39,37283.19962962963,Chèque,22,1343075.87,61048.90318181819,Virement,-5,23765.703552188563,True
02890d2a,25,1144926.95,45797.078,Chèque,7,264966.73,37852.39,Carte bancaire,-18,-7944.688000000002,True
02b1f916,13,514731.02,39594.693846153845,Chèque,7,351762.39,50251.770000000004,Virement,-6,10657.07615384616,True
02c4a69c,28,1458635.59,52094.128214285716,Chèque,3,135853.86,45284.619999999995,Carte bancaire,-25,-6809.508214285721,True
02d84ef0,6,265385.86,44230.97666666666,Agence,21,1284906.37,61186.01761904763,Carte bancaire,15,16955.040952380965,True
02de4e25,5,190049.22999999998,38009.846,Agence,8,407728.02,50966.0025,Carte bancaire,3,12956.156500000005,True
02e55e59,22,1161395.51,52790.705,Chèque,19,1487459.97,78287.36684210526,Carte bancaire,-3,25496.661842105255,True
02eb502f,1,5594.73,5594.73,Carte bancaire,11,696132.01,63284.72818181818,Carte bancaire,10,57689.998181818184,False
02efae80,5,360179.94,72035.988,Carte bancaire,1,83634.74,83634.74,QR Code / TuniPay,-4,11598.752000000008,True
02f373d0,14,543767.04,38840.50285714286,Chèque,9,717298.25,79699.80555555556,Agence,-5,40859.3026984127,True
02fa667e,30,1394738.89,46491.29633333333,Carte bancaire,30,1901282.53,63376.08433333333,Carte bancaire,0,16884.788,False
0314784b,18,976610.64,54256.14666666667,Carte bancaire,10,706681.71,70668.171,Carte bancaire,-8,16412.024333333335,False
0316c364,7,316412.24,45201.74857142857,Chèque,12,753615.0,62801.25,Carte bancaire,5,17599.501428571428,True
034f019a,8,424206.57999999996,53025.822499999995,Chèque,11,545478.91,49588.99181818182,Carte bancaire,3,-3436.8306818181736,True
035f74e4,7,456213.22,65173.31714285714,Chèque,10,915905.52,91590.552,Carte bancaire,3,26417.23485714286,True
036abb45,20,1117294.86,55864.743,Chèque,2,124367.54,62183.77,Agence,-18,6319.026999999995,True
03966a45,27,1417710.4,52507.79259259259,Virement,7,311162.47,44451.78142857143,Carte bancaire,-20,-8056.011164021162,True
039b7321,30,1268862.69,42295.422999999995,Chèque,87,6363909.06,73148.37999999999,Carte bancaire,57,30852.956999999995,True
039ce64c,4,170458.69,42614.6725,Chèque,23,1481276.04,64403.30608695652,Virement,19,21788.633586956523,True
03ae21ae,14,829460.6699999999,59247.19071428571,Chèque,15,1009161.15,67277.41,Carte bancaire,1,8030.2192857142945,True
03cfc170,14,753827.58,53844.82714285714,Chèque,25,1573306.8699999999,62932.27479999999,Carte bancaire,11,9087.447657142853,True
03d814a1,11,493452.79,44859.34454545454,Chèque,24,1258221.87,52425.911250000005,Carte bancaire,13,7566.566704545461,True
03e01107,5,208073.58000000002,41614.716,Carte bancaire,23,1417255.32,61619.79652173913,Carte bancaire,18,20005.08052173913,False
03e2a0f1,23,1304019.37,56696.49434782609,Chèque,3,268279.54,89426.51333333332,Carte bancaire,-20,32730.01898550723,True
03ee262c,8,524413.22,65551.6525,Carte bancaire,54,3241682.88,60031.16444444444,Carte bancaire,46,-5520.488055555557,False
03f80f22,12,506294.97000000003,42191.247500000005,Carte bancaire,16,840425.64,52526.6025,Carte bancaire,4,10335.354999999996,False
041d742d,23,1200150.81,52180.47,Chèque,18,959637.72,53313.206666666665,Carte bancaire,-5,1132.736666666664,True
0428d276,19,815188.64,42904.6652631579,Carte bancaire,24,1291727.1400000001,53821.96416666667,Carte bancaire,5,10917.298903508774,False
042cf38f,1,43912.2,43912.2,Agence,15,766460.8,51097.38666666667,Carte bancaire,14,7185.186666666676,True
04473fc5,6,297145.93,49524.32166666666,Chèque,6,441089.53,73514.92166666668,Carte bancaire,0,23990.600000000013,True
045884c2,13,729814.35,56139.56538461538,Chèque,10,624042.89,62404.289000000004,Carte bancaire,-3,6264.723615384624,True
045e2e80,6,199578.61,33263.10166666666,Chèque,28,1539309.3,54975.33214285714,Carte bancaire,22,21712.23047619048,True
0470ea7f,6,138493.26,23082.210000000003,Chèque,26,1290004.91,49615.57346153846,Carte bancaire,20,26533.363461538454,True
0474b7fb,27,1320997.1,48925.81851851852,Chèque,20,1156901.28,57845.064,Carte bancaire,-7,8919.245481481477,True
0487761c,16,1017353.89,63584.618125,Chèque,28,1832160.86,65434.31642857143,Carte bancaire,12,1849.6983035714293,True
048871d6,10,447878.25,44787.825,Chèque,1,25651.3,25651.3,Virement,-9,-19136.524999999998,True
04949daa,29,1412546.79,48708.51,Chèque,19,1147901.78,60415.883157894736,Carte bancaire,-10,11707.373157894734,True
04aa0e55,10,347555.19,34755.519,Chèque,3,256090.63,85363.54333333333,Agence,-7,50608.024333333335,True
04b8fec6,18,788695.48,43816.415555555555,Carte bancaire,26,1599343.4,61513.20769230769,Carte bancaire,8,17696.792136752134,False
04bad37d,6,225779.88,37629.98,Carte bancaire,21,807380.25,38446.67857142857,Carte bancaire,15,816.6985714285693,False
04c98ac4,13,623392.49,47953.268461538464,Virement,26,1716691.7,66026.60384615384,Carte bancaire,13,18073.335384615377,True
04e651c8,44,1963520.46,44625.465,Chèque,44,2398925.1,54521.025,Carte bancaire,0,9895.560000000005,True
050b0aae,45,2289424.14,50876.092000000004,Carte bancaire,42,3488920.17,83069.52785714285,Carte bancaire,-3,32193.435857142846,False
05188ff3,11,463003.08,42091.189090909094,Chèque,9,478852.87,53205.874444444446,Carte bancaire,-2,11114.685353535351,True
0519e576,18,981401.86,54522.32555555555,Chèque,6,283718.66000000003,47286.443333333336,Carte bancaire,-12,-7235.882222222215,True
0522d27a,17,872802.11,51341.300588235295,Carte bancaire,6,358047.44,59674.573333333334,Carte bancaire,-11,8333.272745098038,False
05232d0c,8,445435.17,55679.39625,Chèque,24,1393533.18,58063.8825,Carte bancaire,16,2384.4862500000017,True
053d4682,10,503184.11,50318.411,Carte bancaire,10,690606.23,69060.62299999999,Virement,0,18742.211999999992,True
0555bf32,18,891703.85,49539.10277777778,Chèque,10,561297.4199999999,56129.74199999999,Carte bancaire,-8,6590.639222222213,True
055cce8b,18,808097.46,44894.30333333333,Chèque,5,307305.23,61461.045999999995,Carte bancaire,-13,16566.742666666665,True
056c3912,10,581699.9400000001,58169.994000000006,Chèque,30,1638391.89,54613.062999999995,Carte bancaire,20,-3556.9310000000114,True
0584a0bb,20,824703.9,41235.195,Carte bancaire,20,1389877.98,69493.899,Carte bancaire,0,28258.704000000005,False
05af145e,14,575482.05,41105.860714285714,Chèque,7,293628.4,41946.91428571429,Virement,-7,841.0535714285725,True
05b537b7,11,569622.54,51783.86727272728,Chèque,13,626566.48,48197.42153846154,Virement,2,-3586.4457342657406,True
05b8d36f,5,262782.16,52556.43199999999,Agence,10,788814.69,78881.469,Carte bancaire,5,26325.037000000004,True
05d3c3c3,7,392524.87,56074.98142857143,Chèque,23,1490477.44,64803.366956521735,Carte bancaire,16,8728.385527950304,True
061327c8,28,1486584.69,53092.31035714286,Chèque,28,1706499.6,60946.41428571429,Carte bancaire,0,7854.103928571429,True
0622f083,1,29402.67,29402.67,Chèque,29,1691272.84,58319.75310344828,Carte bancaire,28,28917.083103448284,True
065492af,44,2320499.14,52738.61681818182,Carte bancaire,24,1358966.1,56623.5875,Virement,-20,3884.9706818181803,True
06570b76,6,244693.29,40782.215000000004,Chèque,13,678777.33,52213.64076923077,Carte bancaire,7,11431.425769230766,True
065c1a66,1,86203.79,86203.79,Chèque,28,1894641.59,67665.77107142858,Carte bancaire,27,-18538.018928571415,True
067133ab,28,1369317.56,48904.19857142858,Virement,24,1251284.24,52136.84333333333,Carte bancaire,-4,3232.644761904754,True
0691606e,9,511988.89,56887.654444444444,Carte bancaire,14,781194.59,55799.61357142857,Carte bancaire,5,-1088.0408730158742,False
06ac22be,58,2603696.58,44891.32034482759,Chèque,8,576189.54,72023.6925,Carte bancaire,-50,27132.372155172416,True
06c0de09,11,541263.58,49205.78,Carte bancaire,13,735811.53,56600.88692307693,Carte bancaire,2,7395.106923076928,False
06e7b959,7,368336.51,52619.50142857143,Carte bancaire,6,289873.44999999995,48312.24166666666,Virement,-1,-4307.2597619047665,True
06f7c4b3,19,898121.77,47269.56684210526,Chèque,12,779438.3200000001,64953.193333333336,Virement,-7,17683.626491228075,True
0711237b,23,1160031.34,50436.145217391306,Chèque,2,135397.9,67698.95,Chèque,-21,17262.80478260869,False
0717bde3,27,1081803.9,40066.81111111111,Chèque,28,1871867.84,66852.42285714285,Carte bancaire,1,26785.611746031747,True
07226beb,6,136481.75999999998,22746.959999999995,Agence,84,4807341.54,57230.25642857143,Carte bancaire,78,34483.29642857144,True
0734b918,18,1068096.41,59338.68944444444,Carte bancaire,28,1791498.25,63982.080357142855,Carte bancaire,10,4643.3909126984145,False
073c5b83,11,508753.99,46250.362727272724,Chèque,4,306061.32,76515.33,Carte bancaire,-7,30264.967272727277,True
073ca58a,18,712250.46,39569.47,Virement,14,850975.5,60783.96428571428,Carte bancaire,-4,21214.49428571428,True
0744b29b,21,921983.18,43903.960952380956,Carte bancaire,7,304532.21,43504.601428571434,Carte bancaire,-14,-399.3595238095222,False
074a404d,5,271065.47,54213.094,Carte bancaire,14,721281.98,51520.14142857143,Carte bancaire,9,-2692.95257142857,False
0753b37b,2,5760.530000000001,2880.2650000000003,Chèque,14,866642.34,61903.02428571428,Carte bancaire,12,59022.75928571428,True
07563f5a,9,530258.54,58917.61555555556,Chèque,15,806220.0800000001,53748.00533333334,Carte bancaire,6,-5169.610222222218,True
076eabb9,9,375066.02,41674.002222222225,Chèque,7,467745.35,66820.76428571428,Espèces,-2,25146.762063492053,True
07a10a1e,11,425608.79,38691.70818181818,Carte bancaire,2,116492.88,58246.44,Carte bancaire,-9,19554.73181818182,False
07c6bad7,16,914272.38,57142.02375,Chèque,9,481856.01,53539.55666666667,Carte bancaire,-7,-3602.4670833333294,True
07ca236f,10,336508.48,33650.848,Agence,1,27536.28,27536.28,Carte bancaire,-9,-6114.567999999999,True
07e3da62,12,739857.76,61654.81333333333,Chèque,48,3093766.2399999998,64453.463333333326,Carte bancaire,36,2798.649999999994,True
07fa6448,16,816236.46,51014.77875,Chèque,6,425504.94,70917.49,Carte bancaire,-10,19902.711250000008,True
0810f8f8,11,567311.49,51573.77181818182,Chèque,24,1493182.82,62215.950833333336,Carte bancaire,13,10642.179015151516,True
0834b4da,11,524783.03,47707.54818181819,Chèque,10,604043.17,60404.317,Carte bancaire,-1,12696.768818181816,True
0839ec34,5,270386.99,54077.398,Chèque,7,443949.14,63421.305714285714,Virement,2,9343.907714285713,True
08433fca,5,209853.48,41970.696,Chèque,29,2015244.04,69491.17379310344,Carte bancaire,24,27520.47779310344,True
0846cd27,9,478201.86,53133.54,Carte bancaire,15,1065768.21,71051.21399999999,Agence,6,17917.67399999999,True
084b32bb,30,1449359.45,48311.98166666667,Chèque,28,1765610.41,63057.51464285714,Carte bancaire,-2,14745.532976190472,True
0868e08f,2,7363.65,3681.825,Espèces,30,1812538.88,60417.962666666666,Carte bancaire,28,56736.13766666667,True
08a5f8a5,25,1255206.23,50208.2492,Chèque,12,502345.13,41862.09416666667,Carte bancaire,-13,-8346.155033333329,True
08d9943d,6,351085.8,58514.299999999996,Carte bancaire,7,280273.92,40039.131428571425,Carte bancaire,1,-18475.16857142857,False
08dd8238,18,868625.48,48256.97111111111,Chèque,22,1275372.95,57971.49772727273,Carte bancaire,4,9714.526616161616,True
08ee5fcc,12,526011.3,43834.275,Chèque,19,1206125.59,63480.29421052632,Carte bancaire,7,19646.01921052632,True
08fd0cd0,25,1205804.86,48232.19440000001,Chèque,21,1363134.44,64911.16380952381,Carte bancaire,-4,16678.9694095238,True
091b8a42,13,830357.77,63873.67461538462,Chèque,18,977644.72,54313.595555555556,Carte bancaire,5,-9560.079059829062,True
091ce706,7,350622.85,50088.97857142857,Chèque,1,53026.27,53026.27,Carte bancaire,-6,2937.2914285714287,True
0921e49d,12,672146.94,56012.244999999995,Carte bancaire,27,1817555.67,67316.87666666666,Carte bancaire,15,11304.631666666668,False
092207f3,23,1284937.04,55866.827826086956,Chèque,23,972059.37,42263.45086956522,Carte bancaire,0,-13603.376956521737,True
0922304c,54,2528671.98,46827.258888888886,Chèque,26,1306290.3,50241.93461538462,Carte bancaire,-28,3414.675726495734,True
092da5f9,23,1149395.12,49973.700869565226,Chèque,9,615910.1900000001,68434.46555555557,Carte bancaire,-14,18460.76468599034,True
09327f98,21,1043977.48,49713.21333333333,Chèque,15,914994.64,60999.64266666667,Virement,-6,11286.429333333333,True
09329ea3,6,260090.22999999998,43348.371666666666,Chèque,4,274284.15,68571.0375,Carte bancaire,-2,25222.66583333334,True
094ef7e9,4,224082.05,56020.5125,Virement,12,723760.02,60313.335,Carte bancaire,8,4292.822500000002,True
0954c261,84,4043388.36,48135.57571428571,Chèque,51,3196715.31,62680.69235294118,Carte bancaire,-33,14545.116638655469,True
0963ab40,27,1069930.66,39627.061481481476,Virement,15,1029908.81,68660.58733333334,Carte bancaire,-12,29033.525851851868,True
0974fcd1,3,71948.56,23982.853333333333,Chèque,14,804571.08,57469.362857142856,Carte bancaire,11,33486.509523809524,True
09782ec5,14,1004394.02,71742.43000000001,Virement,20,1248036.8,62401.840000000004,Carte bancaire,6,-9340.590000000004,True
098df7a0,23,1208588.93,52547.34478260869,Chèque,20,1421227.28,71061.364,Carte bancaire,-3,18514.01921739131,True
099b86f0,26,1354942.47,52113.17192307692,Chèque,14,667729.62,47694.97285714286,Carte bancaire,-12,-4418.199065934066,True
09a64dd3,19,697624.1599999999,36717.06105263157,Chèque,22,1324030.02,60183.18272727273,Carte bancaire,3,23466.12167464116,True
09aabaa7,5,300193.52,60038.704000000005,Chèque,30,1579224.56,52640.818666666666,Carte bancaire,25,-7397.885333333339,True
09d2d30f,42,1803843.68,42948.65904761905,Carte bancaire,12,686373.54,57197.795000000006,Carte bancaire,-30,14249.135952380959,False
09e29618,25,979554.0,39182.16,Carte bancaire,5,273433.3,54686.659999999996,Carte bancaire,-20,15504.499999999993,False
09ffe101,7,398551.49,56935.927142857145,Agence,11,637988.5,57998.954545454544,Virement,4,1063.0274025973995,True
0a095acb,26,1382780.81,53183.87730769231,Chèque,12,797260.75,66438.39583333333,Carte bancaire,-14,13254.518525641019,True
0a14b316,4,144441.16,36110.29,Carte bancaire,7,461621.62,65945.94571428571,Carte bancaire,3,29835.655714285713,False
0a214143,27,1434906.07,53144.66925925926,Chèque,18,1347151.86,74841.77,Carte bancaire,-9,21697.100740740745,True
0a28dce0,13,753771.56,57982.4276923077,Chèque,1,48751.05,48751.05,Virement,-12,-9231.377692307695,True
0a321559,30,1515249.46,50508.31533333333,Chèque,24,1502246.9,62593.62083333333,Carte bancaire,-6,12085.305499999995,True
0a3273e2,4,259129.81,64782.4525,Chèque,22,1154107.44,52459.429090909085,Carte bancaire,18,-12323.023409090914,True
0a39319f,5,215579.29,43115.858,Chèque,30,1672805.16,55760.172,Carte bancaire,25,12644.313999999998,True
0a3e7786,23,1120553.82,48719.73130434783,Chèque,5,392447.92,78489.584,Carte bancaire,-18,29769.852695652175,True
0a54191d,18,836541.37,46474.52055555556,Chèque,17,964567.85,56739.285294117646,Carte bancaire,-1,10264.764738562088,True
0a646f35,6,222024.26,37004.043333333335,Chèque,13,977816.11,75216.62384615385,Carte bancaire,7,38212.58051282051,True
0a6d19bf,6,332454.70999999996,55409.118333333325,Chèque,17,1093979.01,64351.70647058824,Carte bancaire,11,8942.588137254912,True
0a6ea2b0,21,938075.42,44670.258095238096,Chèque,5,302712.58999999997,60542.518,Virement,-16,15872.2599047619,True
0a7aa8d2,15,591826.2,39455.079999999994,Carte bancaire,27,1705316.02,63159.85259259259,Carte bancaire,12,23704.7725925926,False
0a7c8b41,4,140222.01,35055.5025,Carte bancaire,19,1077029.1300000001,56685.74368421053,Carte bancaire,15,21630.24118421053,False
0a8b8f0d,14,564955.5599999999,40353.968571428566,Chèque,12,742931.76,61910.98,Carte bancaire,-2,21557.011428571437,True
0a8cfd2a,3,164618.27,54872.75666666666,Chèque,30,1720752.31,57358.41033333333,Carte bancaire,27,2485.6536666666725,True
0a96e45f,10,496394.24,49639.424,Chèque,19,1190535.65,62659.77105263157,Carte bancaire,9,13020.347052631572,True
0a9de526,29,1468196.43,50627.46310344827,Chèque,7,347931.1,49704.44285714285,Carte bancaire,-22,-923.0202463054229,True
0aafdd8d,28,1223457.98,43694.92785714286,Chèque,26,1625471.66,62518.14076923077,Carte bancaire,-2,18823.21291208791,True
0abd6042,14,914444.92,65317.49428571429,Carte bancaire,38,2482662.38,65333.22052631579,Carte bancaire,24,15.72624060149974,False
0ac149bb,14,673365.73,48097.552142857145,Carte bancaire,15,739033.51,49268.90066666667,Carte bancaire,1,1171.3485238095236,False
0ac3e70a,18,817304.4400000001,45405.80222222223,Chèque,6,362526.38,60421.06333333333,Carte bancaire,-12,15015.261111111104,True
0ac608fc,2,61633.979999999996,30816.989999999998,Chèque,4,121062.37,30265.5925,Carte bancaire,2,-551.3974999999991,True
0af1e389,10,329651.26,32965.126000000004,Carte bancaire,18,1045160.59,58064.477222222224,Carte bancaire,8,25099.35122222222,False
0b09f935,26,1437899.3,55303.81923076923,Chèque,1,114600.49,114600.49,Virement,-25,59296.670769230775,True
0b3b7586,29,1597386.0,55082.275862068964,Chèque,10,753984.1,75398.41,Carte bancaire,-19,20316.13413793104,True
0b460695,9,385703.60000000003,42855.955555555556,Carte bancaire,12,673924.6900000001,56160.39083333334,Carte bancaire,3,13304.435277777782,False
0b550507,22,1192296.24,54195.28363636364,Chèque,14,588501.24,42035.80285714286,Virement,-8,-12159.48077922078,True
0b570dab,28,1319839.24,47137.11571428571,Chèque,13,777419.97,59801.53615384615,Carte bancaire,-15,12664.42043956044,True
0b601cc9,8,421732.61,52716.57625,Chèque,10,370813.62,37081.362,Virement,2,-15635.214249999997,True
0b75d69f,26,1235216.35,47508.321153846155,Chèque,11,603392.83,54853.89363636363,Virement,-15,7345.572482517477,True
0bb50da0,34,1566889.12,46084.97411764706,Carte bancaire,30,1498308.26,49943.60866666667,Virement,-4,3858.6345490196036,True
0bbd7e38,9,460007.98,51111.997777777775,Chèque,7,386207.23,55172.46142857143,Carte bancaire,-2,4060.463650793652,True
0bc588f3,22,929182.67,42235.57590909091,Chèque,7,239597.62,34228.23142857143,Carte bancaire,-15,-8007.344480519481,True
0bd215be,36,1389342.68,38592.852222222224,Chèque,36,2096173.9,58227.052777777775,Carte bancaire,0,19634.20055555555,True
0bd235db,39,1729995.4500000002,44358.8576923077,Carte bancaire,69,3918403.98,56788.46347826087,Carte bancaire,30,12429.605785953172,False
0c18d9e6,7,458915.23,65559.31857142856,Carte bancaire,28,2120406.34,75728.79785714285,Carte bancaire,21,10169.47928571429,False
0c4332a7,5,222473.84,44494.768,Carte bancaire,8,629261.85,78657.73125,Virement,3,34162.96325,True
0c6575a3,15,644878.0599999999,42991.87066666666,Chèque,15,784839.97,52322.664666666664,Carte bancaire,0,9330.794000000002,True
0c813154,69,3479311.11,50424.79869565217,Carte bancaire,57,3757751.91,65925.47210526316,Carte bancaire,-12,15500.673409610994,False
0c883047,7,247195.14,35313.59142857143,Carte bancaire,12,707134.5599999999,58927.88,Carte bancaire,5,23614.288571428566,False
0c8d0418,11,649309.27,59028.115454545456,Chèque,10,585971.61,58597.161,Carte bancaire,-1,-430.9544545454555,True
0c9837c4,15,846145.48,56409.69866666666,Virement,2,24568.31,12284.155,Virement,-13,-44125.543666666665,False
0ca04c9c,15,766645.98,51109.731999999996,Chèque,3,210603.84,70201.28,Carte bancaire,-12,19091.548000000003,True
0cb927bf,14,801362.54,57240.18142857143,Chèque,14,853004.4,60928.885714285716,Carte bancaire,0,3688.704285714288,True
0cd4c05a,19,995374.93,52388.15421052632,Chèque,26,1338626.55,51485.63653846154,Carte bancaire,7,-902.5176720647796,True
0cdff4b8,27,1185800.06,43918.52074074074,Carte bancaire,29,1734060.38,59795.18551724138,Carte bancaire,2,15876.664776500635,False
0ce91fbf,30,1342376.05,44745.86833333333,Carte bancaire,8,550978.74,68872.3425,Carte bancaire,-22,24126.474166666667,False
0cf1797a,28,1466103.25,52360.830357142855,Chèque,29,1778034.73,61311.542413793104,Carte bancaire,1,8950.712056650249,True
0cf8c445,40,2112552.74,52813.81850000001,Carte bancaire,30,1841680.92,61389.363999999994,Carte bancaire,-10,8575.545499999986,False
0cffc6ba,25,1166894.97,46675.7988,Carte bancaire,3,251617.83000000002,83872.61,Virement,-22,37196.811200000004,True
0d06d41a,13,778128.14,59856.01076923077,Chèque,13,800044.17,61541.85923076923,Agence,0,1685.8484615384587,True
0d29ffe6,11,415035.04,37730.45818181818,Chèque,6,517529.91000000003,86254.985,Carte bancaire,-5,48524.52681818182,True
0d325a2e,22,1019823.67,46355.62136363637,Chèque,15,819164.55,54610.97,Carte bancaire,-7,8255.348636363633,True
0d6ba9be,19,794583.41,41820.17947368421,Carte bancaire,2,98529.66,49264.83,Agence,-17,7444.650526315789,True
0d6fb474,21,1027893.17,48947.29380952381,Chèque,19,1113447.48,58602.49894736842,Carte bancaire,-2,9655.205137844605,True
0d7530b2,6,262744.43,43790.738333333335,Chèque,7,421145.39,60163.62714285714,Virement,1,16372.888809523807,True
0d987b3e,19,1023238.94,53854.681052631575,Carte bancaire,14,999421.26,71387.23285714285,Carte bancaire,-5,17532.551804511277,False
0d9d38e2,5,256722.55,51344.509999999995,Virement,14,805770.6900000001,57555.04928571429,Carte bancaire,9,6210.539285714294,True
0dc9260b,7,535928.8,76561.25714285715,Carte bancaire,4,390639.81,97659.9525,Carte bancaire,-3,21098.695357142846,False
0dca423d,23,1201900.33,52256.53608695653,Chèque,6,369520.66,61586.776666666665,Virement,-17,9330.240579710138,True
0e006ee1,11,604884.34,54989.48545454545,Chèque,15,1026836.51,68455.76733333334,Virement,4,13466.281878787886,True
0e0acaaa,28,1758788.76,62813.88428571429,Chèque,7,663233.89,94747.69857142857,Carte bancaire,-21,31933.81428571428,True
0e0b71c0,4,89906.37,22476.5925,Virement,6,471791.8,78631.96666666666,Carte bancaire,2,56155.37416666666,True
0e100ca3,16,859524.96,53720.31,Chèque,24,1272017.83,53000.74291666667,Carte bancaire,8,-719.5670833333279,True
0e195e64,11,512922.26,46629.296363636364,Chèque,7,309996.16,44285.16571428571,Agence,-4,-2344.1306493506563,True
0e345dfd,18,1038849.08,57713.83777777778,Carte bancaire,26,1315460.81,50594.646538461544,Carte bancaire,8,-7119.191239316235,False
